poster_id,post_id,categories,num_category_text
5a92b3dae8ac2b226e3a7cd5,66680b7a000000001d014d49," 高跟鞋, 高跟鞋",8
5a92b3dae8ac2b226e3a7cd5,66612598000000000f00d8e5,"丝袜,  鞋,  丝袜, 鞋","8, 6"
5a92b3dae8ac2b226e3a7cd5,665d7f4b000000000f00c2c6,"平底鞋,  平底鞋",8
5a92b3dae8ac2b226e3a7cd5,66599c67000000000f00d5c7,"丝袜,  高跟鞋, 高跟鞋,  丝袜","8, 6"
5a92b3dae8ac2b226e3a7cd5,6651954d000000001303e9df,"丝袜,  平底鞋, 平底鞋,  丝袜, 风","8, 6, 0"
5a92b3dae8ac2b226e3a7cd5,6649cd5e0000000015010d3d," 高跟鞋, 高跟鞋,  风, 风","8, 0"
5a92b3dae8ac2b226e3a7cd5,66447ceb000000001e01a75e," 鞋, 鞋, 风","8, 0"
5a92b3dae8ac2b226e3a7cd5,663f2e21000000001e027c72,"平底鞋,  平底鞋, 风","8, 0"
5c74102c0000000011017b63,665975c40000000015011f1f,裙,14
5c74102c0000000011017b63,66507d3c000000001303e749," 老爹鞋, ！！老爹鞋","8, 12"
5c74102c0000000011017b63,664dd4cb000000000f00de6e,"冰凉凉的衣服, 冰凉凉的衣, 凉凉的衣服","4, 10"
5c74102c0000000011017b63,664c8b81000000000f00dde5,"他领域的风格, 嘿还蛮显身材, 他领域的风","0, 12"
5c74102c0000000011017b63,6649ddda000000001303dc43, 好校园风,0
5c74102c0000000011017b63,6645e852000000001e022bfc,"山系,  山系",12
5c74102c0000000011017b63,6641bc9d000000001e018291,"一穿裙, 一穿裙子",14
5c74102c0000000011017b63,663b6399000000001e01d6d0," 日系, 日系",12
5c74102c0000000011017b63,663a15c3000000001e02799d,没穿短上衣,4
5c74102c0000000011017b63,66361e7a000000001e01f621,猜杯子里装,12
5c74102c0000000011017b63,6634cbe5000000001e01abe2,日系,12
5c74102c0000000011017b63,662f482f000000001c005d32," 百分号鞋,  百分号鞋子, 百分号鞋子, 百分号鞋",8
5c74102c0000000011017b63,66265101000000001c005f53," T恤, T恤",18
5c74102c0000000011017b63,6623a737000000001c00608d,"看到花衬衫, 我的搭配","12, 18"
