UserID,Video,Main_Category_list
1,1,"[['Movie Commentary', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Cute Pets', 'Satirical Parody', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships'], ['Social and Political News', 'Satirical Parody', 'Satirical Parody'], ['Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Social and Political News', 'Social and Political News', 'Others', 'Animation/Anime'], ['Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Popular Science', 'Education and Campus', 'Sports', 'Social and Political News', 'Technology', 'Technology', 'Satirical Parody'], ['Vlog/Insights Sharing', 'Social and Political News', 'Technology'], ['Creative Editing/Dubbing', 'Product Guide', 'Social and Political News', 'Social and Political News'], ['Social and Political News', 'Satirical Parody', 'Social and Political News'], ['Social and Political News', 'Education and Campus', 'Street Interviews'], ['Workplace/Interpersonal Relationships', 'Technology', 'Workplace/Interpersonal Relationships'], ['Satirical Parody', 'Technology', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Technology', 'Social and Political News'], ['Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Food', 'Food', 'Others', 'Satirical Parody', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Games', 'Outfit Recommendations', 'Technology', 'Food', 'Film/Variety Editing', 'Popular Science', 'Outfit Recommendations', 'Food', 'Education and Campus', 'Outfit Recommendations', 'Outfit Recommendations', 'Product Review'], ['Social and Political News', 'Popular Science', 'Food', 'Landscape Photography', 'Movie Commentary', 'Technology', 'Food', 'Home Life'], ['Sports', 'Travel', 'Landscape Photography', 'Outfit Recommendations'], ['Social and Political News'], ['Outfit Recommendations', 'Medical Health'], ['Medical Health', 'Medical Health'], ['Games', 'Celebrity Entertainment'], ['Outfit Recommendations', 'Education and Campus'], ['Dance', 'Social and Political News', 'Social and Political News', 'Technology', 'Creative Editing/Dubbing', 'Medical Health', 'Technology', 'Food', 'Technology', 'Landscape Photography', 'Cute Pets', 'Dance', 'Technology', 'Satirical Parody']]"
1,2,"[['Social and Political News', 'Satirical Parody', 'Technology'], ['Technology', 'Education and Campus'], ['Animation/Anime', 'Technology', 'Animation/Anime', 'Social and Political News'], ['Short Skits', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody'], ['Social and Political News', 'Landscape Photography', 'Landscape Photography'], ['Music', 'Outfit Recommendations', 'Fitness and Beauty'], ['Outfit Recommendations', 'Life Sharing', 'Satirical Parody', 'Workplace/Interpersonal Relationships'], ['Landscape Photography', 'Education and Campus'], ['Medical Health', 'Workplace/Interpersonal Relationships'], ['Workplace/Interpersonal Relationships', 'Leisure and Comedy', 'Satirical Parody'], ['Popular Science', 'Others', 'Technology'], ['Medical Health', 'Automobiles'], ['Technology', 'Skill Sharing', 'Outfit Recommendations'], ['Landscape Photography', 'Creative Editing/Dubbing', 'Popular Science', 'Outfit Recommendations', 'Outfit Recommendations'], ['Medical Health', 'Workplace/Interpersonal Relationships', 'Education and Campus', 'Cute Pets'], ['Product Review', 'Life Sharing', 'Animation/Anime', 'Outfit Recommendations', 'Product Guide', 'Satirical Parody'], ['Home Life', 'Outfit Recommendations', 'Education and Campus', 'Dance', 'Technology', 'Educational/Informational'], ['Cute Pets', 'Landscape Photography', 'Technology'], ['Product Review', 'Technology', 'Outfit Recommendations', 'Technology'], ['Sports', 'Workplace/Interpersonal Relationships', 'Others', 'Educational/Informational', 'Cute Pets', 'Technology'], ['Creative Editing/Dubbing', 'Life Sharing', 'Celebrity Entertainment', 'Social and Political News'], ['Education and Campus', 'Landscape Photography', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Technology', 'Landscape Photography']]"
1,3,"[['Education and Campus', 'Life Sharing', 'Life Sharing', 'Popular Science', 'Education and Campus', 'Life Sharing', 'Workplace/Interpersonal Relationships', 'Popular Science', 'Outfit Recommendations', 'Technology', 'Home Life', 'Social and Political News', 'Outfit Recommendations', 'Vlog/Insights Sharing'], ['Social and Political News', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Educational/Informational', 'Social and Political News', 'Social and Political News', 'Workplace/Interpersonal Relationships'], ['Popular Science', 'Medical Health', 'Education and Campus', 'Food'], ['Outfit Recommendations', 'Food', 'Technology'], ['Landscape Photography', 'Technology', 'Technology', 'Technology', 'Workplace/Interpersonal Relationships'], ['Social and Political News', 'Outfit Recommendations', 'News and Current Events'], ['Satirical Parody', 'Landscape Photography', 'Life Sharing', 'Landscape Photography', 'Social and Political News'], ['Social and Political News', 'Satirical Parody', 'Social and Political News'], ['Satirical Parody', 'Technology', 'Outfit Recommendations', 'Satirical Parody', 'Satirical Parody', 'Satirical Parody'], ['Workplace/Interpersonal Relationships', 'Animation/Anime', 'Education and Campus', 'Workplace/Interpersonal Relationships', 'Medical Health', 'Street Interviews', 'Education and Campus', 'Social and Political News', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Short Skits', 'Social and Political News', 'Vlog/Insights Sharing', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Art Creation'], ['Film/Variety Editing', 'Appearance', 'Vlog/Insights Sharing', 'Social and Political News', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Landscape Photography', 'Social and Political News', 'Workplace/Interpersonal Relationships'], ['Medical Health', 'Life Sharing', 'Educational/Informational', 'Food', 'Outfit Recommendations', 'Outfit Recommendations', 'Social and Political News', 'Product Review', 'Appearance', 'Product Review'], ['Appearance', 'Social and Political News'], ['Social and Political News', 'Education and Campus'], ['Social and Political News', 'Dance', 'Medical Health', 'Educational/Informational', 'Education and Campus', 'Outfit Recommendations', 'Landscape Photography', 'Social and Political News', 'Popular Science', 'Education and Campus']]"
1,4,"[['Educational/Informational', 'Outfit Recommendations', 'Social and Political News', 'Life Sharing', 'Vlog/Insights Sharing', 'Social and Political News'], ['Landscape Photography', 'Medical Health'], ['Social and Political News', 'Social and Political News', 'Others', 'Appearance', 'Outfit Recommendations', 'Fitness and Beauty', 'Technology', 'Outfit Recommendations', 'Satirical Parody'], ['Food', 'Workplace/Interpersonal Relationships', 'Product Guide', 'Food'], ['Vlog/Insights Sharing', 'Food', 'Workplace/Interpersonal Relationships'], ['Popular Science', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Finance'], ['Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships'], ['Dance', 'Dance', 'Social and Political News'], ['Social and Political News', 'Outfit Recommendations', 'Technology', 'Product Guide', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Social and Political News', 'Appearance'], ['Games', 'Games'], ['Technology', 'Education and Campus', 'Education and Campus', 'Outfit Recommendations', 'Social and Political News', 'Street Interviews'], ['Medical Health', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody', 'Technology', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Technology', 'Outfit Recommendations', 'Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Education and Campus', 'Outfit Recommendations', 'Social and Political News', 'Outfit Recommendations', 'Art Creation', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations'], ['Travel', 'Travel'], ['Technology', 'Food'], ['Food', 'Popular Science', 'Product Guide', 'Product Review', 'Technology', 'Satirical Parody'], ['Technology', 'Technology', 'Music', 'Technology', 'Food', 'Street Interviews', 'Technology', 'Workplace/Interpersonal Relationships', 'Technology', 'Satirical Parody'], ['Outfit Recommendations', 'Appearance'], ['Outfit Recommendations', 'Product Guide', 'Food', 'Technology', 'Skill Sharing', 'Creative Editing/Dubbing', 'Food'], ['Satirical Parody', 'Outfit Recommendations']]"
1,5,"[['Workplace/Interpersonal Relationships', 'Appearance', 'Others', 'Social and Political News', 'Outfit Recommendations', 'Social and Political News'], ['Product Review'], ['Social and Political News', 'Education and Campus'], ['Social and Political News', 'Outfit Recommendations', 'Social and Political News', 'Life Sharing', 'Plot Type', 'Outfit Recommendations', 'Outfit Recommendations', 'Landscape Photography', 'Satirical Parody', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Food', 'Satirical Parody', 'Social and Political News', 'Landscape Photography', 'Satirical Parody', 'Popular Science', 'Technology'], ['Satirical Parody', 'Life Sharing', 'Technology'], ['Social and Political News', 'Social and Political News', 'Landscape Photography', 'Technology', 'Social and Political News', 'Social and Political News', 'Social and Political News'], ['Education and Campus', 'Workplace/Interpersonal Relationships', 'Finance', 'Appearance'], ['Social and Political News', 'Outfit Recommendations', 'Landscape Photography', 'Social and Political News', 'Art Creation', 'Social and Political News', 'Social and Political News', 'Social and Political News'], ['Finance', 'Celebrity Entertainment'], ['Technology', 'Technology', 'Social and Political News', 'Technology'], ['Popular Science', 'Outfit Recommendations', 'Medical Health', 'Outfit Recommendations'], ['Creative Editing/Dubbing', 'Educational/Informational'], ['Landscape Photography', 'Outfit Recommendations', 'Outfit Recommendations', 'Cute Pets', 'Popular Science', 'Technology', 'Satirical Parody', 'Technology'], ['Technology', 'Vlog/Insights Sharing', 'Dance', 'Art Creation', 'Technology', 'Landscape Photography', 'Product Review', 'Technology', 'Product Review', 'Street Interviews']]"
1,6,"[['Social and Political News', 'Social and Political News'], ['Landscape Photography', 'Outfit Recommendations'], ['Workplace/Interpersonal Relationships', 'Automobiles', 'Satirical Parody', 'Outfit Recommendations'], ['Medical Health', 'Life Sharing', 'Education and Campus', 'Technology', 'Technology', 'Outfit Recommendations', 'Movie Commentary'], ['Music', 'Finance', 'Workplace/Interpersonal Relationships', 'Technology', 'Travel', 'Music', 'Travel', 'Music', 'Sports', 'Automobiles', 'Film/Variety Editing', 'Food', 'Leisure and Comedy', 'Games', 'Others', 'News and Current Events', 'Satirical Parody', 'Food'], ['Outfit Recommendations', 'Skill Sharing', 'Social and Political News', 'Life Sharing', 'Education and Campus', 'Popular Science', 'Skill Sharing', 'Fitness and Beauty', 'Outfit Recommendations', 'Appearance'], ['Landscape Photography', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Social and Political News'], ['Games', 'Satirical Parody', 'Leisure and Comedy', 'Games', 'Finance'], ['Technology'], ['Technology', 'Popular Science', 'Landscape Photography', 'Education and Campus'], ['Educational/Informational', 'Medical Health', 'Street Interviews'], ['Movie Commentary', 'Movie Commentary', 'Technology', 'Technology'], ['Animation/Anime', 'Education and Campus', 'Landscape Photography', 'Art Creation'], ['Social and Political News', 'Medical Health', 'Food', 'Home Life'], ['Technology', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Appearance', 'Movie Commentary'], ['Movie Commentary', 'Film/Variety Editing', 'Food'], ['Workplace/Interpersonal Relationships', 'Satirical Parody', 'Satirical Parody', 'Workplace/Interpersonal Relationships'], ['Dance', 'Technology'], ['Workplace/Interpersonal Relationships', 'Medical Health', 'Outfit Recommendations', 'Educational/Informational'], ['Outfit Recommendations', 'Landscape Photography', 'Creative Editing/Dubbing'], ['Games', 'Games', 'Technology'], ['Outfit Recommendations', 'Technology', 'Food', 'Food', 'Technology', 'Educational/Informational']]"
1,7,"[['Life Sharing', 'Games', 'Home Life', 'Appearance', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Technology', 'Art Creation', 'Satirical Parody', 'Social and Political News', 'Landscape Photography', 'Educational/Informational', 'Vlog/Insights Sharing', 'Social and Political News', 'Outfit Recommendations'], ['Workplace/Interpersonal Relationships', 'Movie Commentary', 'Dance', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Dance', 'Social and Political News', 'Satirical Parody', 'Workplace/Interpersonal Relationships'], ['Social and Political News', 'Outfit Recommendations', 'Others', 'Educational/Informational', 'Social and Political News', 'Social and Political News', 'Life Sharing'], ['Outfit Recommendations', 'Workplace/Interpersonal Relationships'], ['Games', 'Games', 'Satirical Parody', 'Games', 'Educational/Informational', 'Outfit Recommendations', 'Art Creation', 'Celebrity Entertainment', 'Games', 'Creative Editing/Dubbing', 'Life Sharing'], ['Others', 'Short Skits', 'Others', 'Social and Political News'], ['Short Skits', 'Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Education and Campus'], ['Workplace/Interpersonal Relationships', 'Life Sharing', 'Social and Political News', 'Life Sharing', 'Social and Political News', 'Dance', 'Art Creation', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Short Skits', 'Social and Political News', 'Outfit Recommendations'], ['Vlog/Insights Sharing', 'Appearance', 'Social and Political News', 'Medical Health', 'Social and Political News', 'Street Interviews', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Art Creation', 'Social and Political News', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations'], ['Outfit Recommendations', 'Technology', 'Workplace/Interpersonal Relationships'], ['Animation/Anime', 'Street Interviews', 'Sports', 'Street Interviews', 'Outfit Recommendations', 'Life Sharing', 'Appearance', 'Technology', 'Workplace/Interpersonal Relationships', 'Street Interviews'], ['Technology', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations']]"
1,8,"[['Social and Political News', 'Skill Sharing', 'Social and Political News', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Social and Political News', 'Technology', 'Outfit Recommendations'], ['Creative Editing/Dubbing', 'Workplace/Interpersonal Relationships', 'Technology', 'Food', 'Educational/Informational', 'Social and Political News', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Educational/Informational', 'Technology'], ['Games', 'Education and Campus', 'Vlog/Insights Sharing', 'Social and Political News'], ['Social and Political News', 'Satirical Parody', 'Outfit Recommendations'], ['Social and Political News', 'Education and Campus'], ['Medical Health', 'Education and Campus', 'Fitness and Beauty'], ['Social and Political News', 'Medical Health', 'Social and Political News', 'Product Guide', 'Social and Political News'], ['Others', 'Social and Political News', 'Social and Political News', 'Outfit Recommendations'], ['Social and Political News', 'Life Sharing', 'Outfit Recommendations', 'News and Current Events', 'Workplace/Interpersonal Relationships', 'Life Sharing', 'Life Sharing', 'Games', 'Technology'], ['Education and Campus', 'Social and Political News', 'Dance', 'Social and Political News'], ['Games', 'Social and Political News', 'Games', 'Games'], ['Games', 'Games', 'Games'], ['Outfit Recommendations', 'Life Sharing', 'Social and Political News', 'Popular Science', 'Workplace/Interpersonal Relationships', 'Life Sharing', 'Life Sharing'], ['Workplace/Interpersonal Relationships', 'Appearance', 'Workplace/Interpersonal Relationships'], ['Landscape Photography', 'Medical Health'], ['Outfit Recommendations', 'Outfit Recommendations']]"
1,9,"[['Satirical Parody', 'Outfit Recommendations', 'Satirical Parody', 'Technology', 'Art Creation', 'Food', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Animation/Anime'], ['Social and Political News', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Outfit Recommendations', 'Celebrity Entertainment', 'Popular Science', 'Social and Political News', 'Dance'], ['Games', 'Games', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Games'], ['Vlog/Insights Sharing', 'Outfit Recommendations', 'Social and Political News', 'Social and Political News', 'Educational/Informational', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Education and Campus', 'Outfit Recommendations', 'Social and Political News', 'Social and Political News'], ['Others', 'Education and Campus', 'Dance', 'Film/Variety Editing', 'Outfit Recommendations', 'Outfit Recommendations', 'Product Review', 'Education and Campus', 'Technology', 'Social and Political News', 'Educational/Informational'], ['Dance', 'Appearance', 'Appearance', 'Dance', 'Outfit Recommendations', 'Technology'], ['Technology', 'Appearance'], ['Social and Political News'], ['Games', 'Social and Political News'], ['Fitness and Beauty', 'Street Interviews', 'Education and Campus', 'Social and Political News', 'Social and Political News'], ['Outfit Recommendations', 'Appearance', 'Appearance', 'Product Guide'], ['Social and Political News', 'Education and Campus', 'Appearance'], ['Games', 'Games'], ['Social and Political News', 'Life Sharing', 'Dance', 'Outfit Recommendations', 'Social and Political News', 'Dance', 'Technology'], ['Social and Political News', 'Social and Political News', 'Outfit Recommendations', 'Satirical Parody'], ['Technology', 'Technology'], ['Satirical Parody', 'Dance']]"
1,10,"[['Cute Pets', 'Life Sharing'], ['Outfit Recommendations', 'Technology'], ['Technology', 'Vlog/Insights Sharing'], ['Outfit Recommendations', 'Short Skits', 'Workplace/Interpersonal Relationships'], ['Social and Political News', 'Vlog/Insights Sharing', 'Social and Political News'], ['Creative Editing/Dubbing', 'Appearance', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations'], ['Workplace/Interpersonal Relationships', 'Others', 'Technology', 'Landscape Photography', 'Technology', 'Technology'], ['Medical Health', 'Celebrity Entertainment', 'Animation/Anime', 'Dance', 'Movie Commentary'], ['Medical Health', 'Outfit Recommendations', 'Technology', 'Technology', 'Animation/Anime'], ['Outfit Recommendations', 'Product Review', 'Animation/Anime', 'Technology', 'Creative Editing/Dubbing', 'Technology', 'Product Guide', 'Technology', 'Popular Science', 'Outfit Recommendations', 'Outfit Recommendations', 'Technology', 'Vlog/Insights Sharing', 'Technology', 'Technology'], ['Technology', 'Technology'], ['Popular Science', 'Technology'], ['Technology', 'Social and Political News', 'Social and Political News'], ['Automobiles', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships'], ['Outfit Recommendations', 'Travel', 'Automobiles', 'Landscape Photography', 'Automobiles'], ['Travel', 'Education and Campus', 'Automobiles', 'Workplace/Interpersonal Relationships'], ['Educational/Informational', 'Outfit Recommendations', 'Technology', 'Art Creation'], ['Food', 'Food'], ['Popular Science', 'Education and Campus', 'Landscape Photography', 'Product Guide', 'Outfit Recommendations'], ['Outfit Recommendations', 'Vlog/Insights Sharing', 'Medical Health', 'Skill Sharing']]"
