UserID,Video,Main_Category_list
1,1,"['Workplace/Interpersonal Relationships', 'Satirical Parody', 'Outfit Recommendations', 'Outfit Recommendations', 'Vlog/Insights Sharing', 'Product Review', 'Satirical Parody', 'Education and Campus', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Popular Science', 'Fitness and Beauty', 'Social and Political News', 'Medical Health', 'Medical Health', 'Games', 'Outfit Recommendations', 'Satirical Parody']"
1,2,"['Satirical Parody', 'Technology', 'Animation/Anime', 'Short Skits', 'Landscape Photography', 'Outfit Recommendations', 'Satirical Parody', 'Landscape Photography', 'Medical Health', 'Satirical Parody', 'Popular Science', 'Medical Health', 'Outfit Recommendations', 'Art Creation', 'Medical Health', 'Satirical Parody', 'Outfit Recommendations', 'Outfit Recommendations', 'Product Review', 'Skill Sharing', 'Creative Editing/Dubbing', 'Landscape Photography']"
1,3,"['Education and Campus', 'Workplace/Interpersonal Relationships', 'Popular Science', 'Outfit Recommendations', 'Social and Political News', 'Social and Political News', 'Satirical Parody', 'Social and Political News', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Film/Variety Editing', 'Outfit Recommendations', 'Celebrity Entertainment', 'Education and Campus', 'Social and Political News']"
1,4,"['Social and Political News', 'Outfit Recommendations', 'Fitness and Beauty', 'Food', 'Vlog/Insights Sharing', 'Popular Science', 'Workplace/Interpersonal Relationships', 'Dance', 'Social and Political News', 'Games', 'Education and Campus', 'Outfit Recommendations', 'Travel', 'Food', 'Satirical Parody', 'Satirical Parody', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Satirical Parody']"
1,5,"['Workplace/Interpersonal Relationships', 'Product Review', 'Education and Campus', 'Social and Political News', 'Satirical Parody', 'Social and Political News', 'Education and Campus', 'Social and Political News', 'Technology', 'Technology', 'Popular Science', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Outfit Recommendations']"
1,6,"['Social and Political News', 'Outfit Recommendations', 'Satirical Parody', 'Medical Health', 'Outfit Recommendations', 'Fitness and Beauty', 'Creative Editing/Dubbing', 'Satirical Parody', 'Technology', 'Art Creation', 'Street Interviews', 'Technology', 'Animation/Anime', 'Social and Political News', 'Satirical Parody', 'Film/Variety Editing', 'Satirical Parody', 'Social and Political News', 'Medical Health', 'Creative Editing/Dubbing', 'Games', 'Food']"
1,7,"['Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Outfit Recommendations', 'Games', 'Social and Political News', 'Short Skits', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Outfit Recommendations']"
1,8,"['Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Games', 'Satirical Parody', 'Social and Political News', 'Medical Health', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Games', 'Games', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Medical Health', 'Outfit Recommendations']"
1,9,"['Satirical Parody', 'Social and Political News', 'Games', 'Social and Political News', 'Education and Campus', 'Outfit Recommendations', 'Animation/Anime', 'Social and Political News', 'Social and Political News', 'Street Interviews', 'Outfit Recommendations', 'Celebrity Entertainment', 'Games', 'Social and Political News', 'Satirical Parody', 'Technology', 'Satirical Parody']"
1,10,"['Games', 'Outfit Recommendations', 'Technology', 'Short Skits', 'Social and Political News', 'Art Creation', 'Technology', 'Movie Commentary', 'Outfit Recommendations', 'Outfit Recommendations', 'Technology', 'Popular Science', 'Technology', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Education and Campus', 'Art Creation', 'Food', 'Popular Science', 'Fitness and Beauty']"
1,11,"['Outfit Recommendations', 'Street Interviews', 'Local Culture and Tourism', 'Street Interviews', 'Outfit Recommendations', 'Satirical Parody', 'Celebrity Entertainment', 'Art Creation', 'Games', 'Street Interviews', 'Satirical Parody', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Home Life', 'Music', 'Satirical Parody', 'Satirical Parody']"
1,12,"['Games', 'Food', 'Food', 'Workplace/Interpersonal Relationships', 'Short Skits', 'Popular Science', 'Outfit Recommendations', 'Education and Campus', 'Outfit Recommendations', 'Outfit Recommendations', 'Food', 'Product Review', 'Landscape Photography', 'Fitness and Beauty', 'Art Creation', 'Landscape Photography', 'Home Life', 'Workplace/Interpersonal Relationships', 'Popular Science', 'Cute Pets', 'Satirical Parody', 'Satirical Parody']"
1,13,"['Outfit Recommendations', 'Creative Editing/Dubbing', 'Fitness and Beauty', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Outfit Recommendations', 'Dance', 'Outfit Recommendations', 'Product Review', 'Technology', 'Animation/Anime', 'Workplace/Interpersonal Relationships', 'Popular Science']"
1,14,"['Fitness and Beauty', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Social and Political News', 'Technology', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Cute Pets', 'Education and Campus', 'Outfit Recommendations', 'Sports', 'Vlog/Insights Sharing', 'Fitness and Beauty', 'Short Skits', 'Social and Political News']"
3,1,"['Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Art Creation', 'Satirical Parody', 'Medical Health', 'Medical Health', 'Music', 'Music', 'Workplace/Interpersonal Relationships']"
3,2,"['Social and Political News', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Finance', 'Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Product Review', 'Workplace/Interpersonal Relationships', 'Landscape Photography', 'Satirical Parody', 'Technology', 'Social and Political News', 'Outfit Recommendations', 'Celebrity Entertainment', 'Film/Variety Editing', 'Outfit Recommendations']"
3,3,"['Satirical Parody', 'Outfit Recommendations', 'Dance', 'Social and Political News', 'Satirical Parody', 'Outfit Recommendations', 'Vlog/Insights Sharing', 'Short Skits', 'Food', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News']"
3,4,"['Satirical Parody', 'Product Review', 'Product Review', 'Outfit Recommendations', 'Social and Political News', 'Outfit Recommendations', 'Social and Political News', 'Product Review', 'Dance', 'Fitness and Beauty']"
3,5,"['Workplace/Interpersonal Relationships', 'Product Review', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations']"
3,6,['Technology']
3,7,"['Education and Campus', 'Outfit Recommendations', 'Outfit Recommendations', 'Social and Political News', 'Workplace/Interpersonal Relationships']"
3,8,"['Education and Campus', 'Outfit Recommendations', 'Outfit Recommendations']"
3,9,"['Finance', 'Social and Political News', 'Social and Political News']"
3,10,"['Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Education and Campus', 'Social and Political News']"
3,11,"['Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Product Review', 'Social and Political News', 'Education and Campus', 'Outfit Recommendations', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships']"
3,12,['Workplace/Interpersonal Relationships']
3,13,"['Social and Political News', 'Social and Political News', 'Social and Political News', 'Satirical Parody', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Landscape Photography', 'Dance', 'Medical Health', 'Product Review']"
3,14,"['Outfit Recommendations', 'Public Service Advertising', 'Social and Political News', 'Art Creation', 'Vlog/Insights Sharing', 'Social and Political News', 'Landscape Photography', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Satirical Parody', 'Outfit Recommendations', 'Education and Campus']"
4,1,"['Satirical Parody', 'Fitness and Beauty', 'Outfit Recommendations', 'Landscape Photography', 'Outfit Recommendations', 'Dance', 'Satirical Parody', 'Art Creation', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Creative Editing/Dubbing', 'Fitness and Beauty', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Landscape Photography', 'Dance', 'Popular Science', 'Satirical Parody', 'Popular Science', 'Landscape Photography', 'Outfit Recommendations', 'Popular Science']"
4,2,"['Outfit Recommendations', 'Outfit Recommendations', 'Vlog/Insights Sharing', 'Landscape Photography', 'Popular Science', 'Landscape Photography', 'Education and Campus', 'Workplace/Interpersonal Relationships', 'Technology', 'Animation/Anime', 'Workplace/Interpersonal Relationships', 'Local Culture and Tourism', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Education and Campus', 'Technology', 'Popular Science', 'Satirical Parody', 'Product Review', 'Technology']"
4,3,"['Outfit Recommendations', 'Food', 'Satirical Parody', 'Outfit Recommendations', 'Street Interviews', 'Landscape Photography', 'Creative Editing/Dubbing', 'Workplace/Interpersonal Relationships', 'Music', 'Cute Pets', 'Fitness and Beauty', 'Street Interviews', 'Outfit Recommendations', 'Product Review']"
4,4,"['Education and Campus', 'Outfit Recommendations', 'Popular Science', 'Satirical Parody', 'Popular Science', 'Cute Pets', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Automobiles', 'Education and Campus', 'Satirical Parody', 'Games', 'Workplace/Interpersonal Relationships', 'Fitness and Beauty', 'Celebrity Entertainment', 'Technology', 'Satirical Parody', 'Outfit Recommendations', 'Technology', 'Satirical Parody', 'Vlog/Insights Sharing', 'Film/Variety Editing']"
4,5,"['Creative Editing/Dubbing', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Creative Editing/Dubbing', 'Popular Science', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody', 'Landscape Photography', 'Satirical Parody', 'Popular Science', 'Workplace/Interpersonal Relationships', 'Skill Sharing', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody']"
4,6,"['Medical Health', 'Landscape Photography', 'Outfit Recommendations', 'Satirical Parody', 'Satirical Parody', 'Satirical Parody', 'Medical Health', 'Outfit Recommendations', 'Landscape Photography', 'Landscape Photography', 'Creative Editing/Dubbing', 'Popular Science', 'Landscape Photography', 'Technology']"
4,7,"['Outfit Recommendations', 'Product Review', 'Outfit Recommendations', 'Social and Political News', 'Outfit Recommendations', 'Product Review', 'Satirical Parody', 'Satirical Parody', 'Technology', 'Satirical Parody', 'Fitness and Beauty', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Fitness and Beauty', 'Creative Editing/Dubbing', 'Landscape Photography']"
4,8,"['Education and Campus', 'Art Creation', 'Cute Pets', 'Cute Pets', 'Outfit Recommendations', 'Popular Science', 'Social and Political News', 'Outfit Recommendations', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Social and Political News', 'Cute Pets', 'Workplace/Interpersonal Relationships', 'Technology', 'Workplace/Interpersonal Relationships', 'Technology', 'Education and Campus', 'Education and Campus', 'Fitness and Beauty']"
4,9,"['Popular Science', 'Satirical Parody', 'Fitness and Beauty', 'Medical Health', 'Satirical Parody', 'Landscape Photography', 'Dance', 'Workplace/Interpersonal Relationships', 'Popular Science', 'Dance', 'Satirical Parody', 'Popular Science', 'Art Creation', 'Fitness and Beauty', 'Outfit Recommendations', 'Landscape Photography', 'Outfit Recommendations']"
4,10,"['Social and Political News', 'Outfit Recommendations', 'Social and Political News', 'Satirical Parody', 'Street Interviews', 'Medical Health', 'Popular Science', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Product Review', 'Satirical Parody', 'Creative Editing/Dubbing']"
4,11,"['Medical Health', 'Social and Political News', 'Medical Health', 'Medical Health', 'Vlog/Insights Sharing', 'Celebrity Entertainment', 'Outfit Recommendations', 'Vlog/Insights Sharing', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody', 'Medical Health', 'Food', 'Animation/Anime', 'Food', 'Medical Health', 'Street Interviews', 'Outfit Recommendations', 'Cute Pets', 'Satirical Parody']"
4,12,"['Social and Political News', 'Outfit Recommendations', 'Satirical Parody', 'Satirical Parody', 'Skill Sharing', 'Creative Editing/Dubbing', 'Food', 'Social and Political News', 'Social and Political News', 'Popular Science', 'Street Interviews', 'Education and Campus', 'Landscape Photography', 'Art Creation', 'Workplace/Interpersonal Relationships', 'Art Creation', 'Street Interviews', 'Movie Commentary']"
4,13,"['Outfit Recommendations', 'Landscape Photography', 'Outfit Recommendations', 'Fitness and Beauty', 'Education and Campus', 'Social and Political News', 'Satirical Parody', 'Outfit Recommendations', 'Art Creation', 'Street Interviews', 'Automobiles', 'Landscape Photography', 'Outfit Recommendations', 'Animation/Anime', 'Popular Science', 'Movie Commentary', 'Satirical Parody', 'Creative Editing/Dubbing']"
4,14,"['Popular Science', 'Technology', 'Workplace/Interpersonal Relationships', 'Vlog/Insights Sharing', 'Workplace/Interpersonal Relationships', 'Medical Health', 'Popular Science', 'Dance', 'Creative Editing/Dubbing', 'Medical Health', 'Popular Science', 'Outfit Recommendations', 'Technology', 'Outfit Recommendations', 'Outfit Recommendations', 'Education and Campus', 'Social and Political News', 'Outfit Recommendations', 'Short Skits', 'Art Creation', 'Cute Pets', 'Outfit Recommendations']"
6,1,"['Outfit Recommendations', 'Social and Political News', 'Fitness and Beauty', 'Outfit Recommendations', 'Satirical Parody', 'Social and Political News', 'Music', 'Education and Campus', 'Satirical Parody', 'Sports', 'Workplace/Interpersonal Relationships', 'Music', 'Social and Political News', 'Social and Political News', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Fitness and Beauty', 'Social and Political News', 'Social and Political News']"
6,2,"['Product Review', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Satirical Parody', 'Product Review', 'Education and Campus', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Skill Sharing', 'Food', 'Social and Political News', 'Workplace/Interpersonal Relationships', 'Social and Political News', 'Technology', 'Workplace/Interpersonal Relationships', 'Animation/Anime', 'Social and Political News', 'Outfit Recommendations', 'Automobiles']"
6,3,"['Outfit Recommendations', 'Medical Health', 'Celebrity Entertainment', 'Landscape Photography', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Outfit Recommendations', 'Satirical Parody', 'Social and Political News', 'Popular Science', 'Art Creation', 'Workplace/Interpersonal Relationships', 'Automobiles', 'Outfit Recommendations', 'Satirical Parody', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Medical Health', 'Satirical Parody', 'Creative Editing/Dubbing', 'Fitness and Beauty', 'Vlog/Insights Sharing', 'Landscape Photography', 'Landscape Photography', 'Product Review']"
6,4,"['Outfit Recommendations', 'Food', 'Fitness and Beauty', 'Social and Political News', 'Social and Political News', 'Social and Political News', 'Local Culture and Tourism', 'Outfit Recommendations', 'Social and Political News', 'Medical Health', 'Outfit Recommendations', 'Popular Science', 'Fitness and Beauty', 'Fitness and Beauty', 'Popular Science', 'Music', 'Satirical Parody', 'Product Review', 'Art Creation', 'Art Creation', 'Film/Variety Editing', 'Landscape Photography', 'Skill Sharing', 'Landscape Photography', 'Satirical Parody']"
6,5,"['Outfit Recommendations', 'Landscape Photography', 'Outfit Recommendations', 'Food', 'Workplace/Interpersonal Relationships', 'Automobiles', 'Satirical Parody', 'Popular Science', 'Landscape Photography', 'Animation/Anime', 'Popular Science', 'Medical Health', 'Art Creation', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Music', 'Art Creation', 'Satirical Parody', 'Popular Science', 'Satirical Parody', 'Outfit Recommendations']"
6,6,"['Outfit Recommendations', 'Outfit Recommendations', 'Automobiles', 'Fitness and Beauty', 'Social and Political News', 'Education and Campus', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Outfit Recommendations', 'Automobiles', 'Outfit Recommendations', 'Social and Political News', 'Medical Health', 'Popular Science', 'Education and Campus', 'Medical Health', 'Satirical Parody', 'Workplace/Interpersonal Relationships', 'Technology', 'Outfit Recommendations', 'Social and Political News']"
6,7,"['Education and Campus', 'Outfit Recommendations', 'Celebrity Entertainment', 'Social and Political News', 'Film/Variety Editing', 'Education and Campus', 'Outfit Recommendations', 'Landscape Photography', 'Skill Sharing', 'Dance', 'Local Culture and Tourism', 'Food', 'Education and Campus', 'Education and Campus', 'Outfit Recommendations', 'Fitness and Beauty', 'Food', 'Outfit Recommendations', 'Food', 'Outfit Recommendations', 'Animation/Anime', 'Education and Campus', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Cute Pets']"
6,8,"['Fitness and Beauty', 'Outfit Recommendations', 'Satirical Parody', 'Product Review', 'Fitness and Beauty', 'Social and Political News', 'Automobiles', 'Automobiles', 'Popular Science', 'Food', 'Skill Sharing', 'Popular Science', 'Outfit Recommendations', 'Music', 'Fitness and Beauty', 'Outfit Recommendations', 'Education and Campus', 'Public Service Advertising', 'Medical Health', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Outfit Recommendations', 'Creative Editing/Dubbing', 'Outfit Recommendations', 'Local Culture and Tourism', 'Workplace/Interpersonal Relationships', 'Creative Editing/Dubbing', 'Art Creation', 'Cute Pets']"
6,9,"['Popular Science', 'Medical Health', 'Technology', 'Product Review', 'Outfit Recommendations', 'Landscape Photography', 'Satirical Parody', 'Satirical Parody', 'Satirical Parody', 'Outfit Recommendations', 'Popular Science', 'Creative Editing/Dubbing', 'Satirical Parody', 'Landscape Photography', 'Outfit Recommendations', 'Fitness and Beauty', 'Medical Health', 'Public Service Advertising', 'Local Culture and Tourism', 'Medical Health', 'Outfit Recommendations', 'Workplace/Interpersonal Relationships', 'Landscape Photography', 'Popular Science', 'Technology']"
6,10,"['Outfit Recommendations', 'Medical Health', 'Technology', 'Art Creation', 'Education and Campus', 'Outfit Recommendations', 'Movie Commentary', 'Creative Editing/Dubbing', 'Creative Editing/Dubbing', 'Product Review', 'Popular Science', 'Satirical Parody', 'Satirical Parody', 'Landscape Photography', 'Product Review', 'Medical Health', 'Outfit Recommendations', 'Outfit Recommendations', 'Food', 'Animation/Anime', 'Satirical Parody']"
